name,profileContent,locality,region,country,postalCode,aboutUs,galleryImage,classesConducted,image,reviews
LINK ACADEMY OF COMPUTER TECHNOLOGY,,Memnagar,Ahmedabad,India,380052,"link academy of computer technology / synergy education /lact is dealing in autocad programming 2d,autocad programming 3d",[],"['C++ Language\n                           \n                               classes', 'C Language\n                           \n                               Classes', 'Java Training\n                           \n                               Classes', 'Animation & Multimedia\n                           \n                               Classes', '3d Movie Maker\n                           \n                               Training', '3D Studio Max\n                           \n                               Training', 'AC3D 3D Modeling\n                           \n                               Training', 'Corel DRAW\n                           \n                               Training']",https://c.urbanpro.com/assets/new-ui/institute-200X200-1cadc0a5074600eb6978b2bd141bd303.png,[]
kalapurnam institute,,Navrangpura,Ahmedabad,India,380009,"KIVA is the high end 3D Animation & VFX education centre that prepares students for careers in Animation, VFX, Film making, Gaming, and Web & Graphics Design.Through its wide network of centres,KIVA has prepared thousands of students for careers in Animation, VFX, Film making,Gaming, Web and Graphics Design.The Academy provides quality education through career-oriented courses, leading to top-notch job placements. KIVA has a dedicated Research & Development team consisting of industry professionals. This team is responsible for planning the detailed curriculum for each course.","['https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/45977-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/45978-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/45980-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/45983-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/46005-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/46006-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/46008-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/46011-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/46012-large.jpg', '/ahmedabad/kalapurnam-institute-navrangpura/gallery/5020423']","['Photography\n                           \n                               Classes', 'Interior Designing\n                           \n                               classes', 'Video Editing\n                           \n                               classes', 'Web Designing\n                           \n                               Classes', 'Film Making\n                           \n                               classes', 'Adobe Photoshop Training\n                           \n                               classes', 'Fashion Designing\n                           \n                               classes', 'Jewellery Design\n                           \n                               Classes', 'Graphic Designing\n                           \n                               Classes', 'Autocad\n                           \n                               classes', 'Advertising\n                           \n                               classes', 'Cinematography\n                           \n                               classes', 'Audio Engineering\n                           \n                               classes', 'Animation & Multimedia\n                           \n                               Classes', '3d Movie Maker\n                           \n                               Training', '3D Studio Max\n                           \n                               Training', '2D Studio\n                           \n                               Training', 'Autodesk REVIT\n                           \n                               Training', 'Corel DRAW\n                           \n                               Training', 'Digital Publishing\n                           \n                               Training', 'Maya 3D Animation\n                           \n                               Training', 'Revit Architecture\n                           \n                               Training', 'Visual effects VFX\n                           \n                               Training', 'Fine Arts\n                           \n                               Classes', 'Digital Film Making\n                           \n                               classes', 'Wedding Photographers', 'Sterioscopic 3d Training\n                           \n                               Classes']",https://s3-ap-southeast-1.amazonaws.com/tv-prod/member/photo/795498-medium190ap.jpg,"[u'L\n\n\n\n\n\n\n\n\n\n\n\n\nLimbani Bhavik\n\n attended \n\n in Feb,2015\r\n\t\t\t\t\t\n posted on 04 May, 2016\n\r\n\t\t\t\t\t""Good response I got from this institute,I joined ""Kalapurnam"" institute for fashion designing and my experience was an amazing,I would strongly recommend the institute to everyone.""', u'K\n\n\n\n\n\n\n\n\n\n\n\n\nKishan Kumar\n\n attended \n\n in Jan,2015\r\n\t\t\t\t\t\n posted on 04 May, 2016\n\r\n\t\t\t\t\t""""Kalapurnam is the best institute for animation,Atmosphere is very good for learning,teachers are also very supportive,Thanks to Our Director Mr. Sanjay Shah for Making our future Bright.A must recommend institute. ""', u'P\n\n\n\n\n\n\n\n\n\n\n\n\nPrakash R Panchal\n\n attended \n\n posted on 28 Jan, 2016\n\r\n\t\t\t\t\t""Trainer is good\r\n\t\t\t\t\t\t\t\t\t""']"
Bhrugesh Thakkar,"English,
				
				Hindi,
				
				Gujarati",Satellite,Ahmedabad,India,380015,"I am working as Dot Net Developer and also taking part time tuitions for .net, Java etc",[],"['.Net Training', '.Net Advanced\n                           \n                               Training', '.Net LINQ\n                           \n                               Training', '.Net MVC\n                           \n                               Training', '.Net Web Services\n                           \n                               Training', 'ADO.NET\n                           \n                               Training', 'ASP.NET\n                           \n                               Training', 'ASP.NET AJAX\n                           \n                               Training', 'C# .NET\n                           \n                               Training', 'Crystal Reports\n                           \n                               Training', '.Net WCF\n                           \n                               Training', '.Net XML\n                           \n                               Training', 'MS SQL\n                           \n                               Training', 'VB.NET\n                           \n                               Training']",https://s3-ap-southeast-1.amazonaws.com/tv-prod/member/photo/888251-medium190.jpg,[]
Pranav Varma,"Hindi,
				
				Gujarati,
				
				English",Jivraj Park,Ahmedabad,India,380051,"Over 16 years of Experience as a Trainer for Different IT Subject. I am giving training for Android,  JAVA, .Net, C, C++, Advance Excel, HTML5",[],"['C++ Language\n                           \n                               classes', 'C Language\n                           \n                               Classes', 'MCA Coaching\n                           \n                               classes', 'Java Training\n                           \n                               Classes', 'Microsoft Excel Training\n                           \n                               classes', '.Net Training', 'BCA Tuition', 'Tally Software\n                           \n                               classes', 'Mobile Application Development\n                           \n                               Training']",https://s3-ap-southeast-1.amazonaws.com/tv-prod/member/photo/190624-medium190.jpg,[]
Royal Technosoft Pvt limited,,C G Road,Ahmedabad,India,380009,"We provide best coaching for  Java,Maths,Science,Android,Robotics,IPHone, Java certification,Language classes","['https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/49461-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/49472-large.png', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/49477-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/provider/photo/36341-large.jpg']","['BCom Tuition', 'GRE Coaching\n                           \n                               Classes', 'SAT Coaching\n                           \n                               classes', 'Java Training\n                           \n                               Classes', '.Net Training', 'BCA Tuition', 'iPhone Programming\n                           \n                               classes', 'PSAT/NMSQT Coaching\n                           \n                               classes', 'Mobile Application Development\n                           \n                               Training']",https://s3-ap-southeast-1.amazonaws.com/tv-prod/member/photo/808479-medium190ap.png,[]
Parth  Brahmbhatt,"English,
				
				Hindi,
				
				Gujarati",Sola Road,Ahmedabad,India,380061,"I am IT professional and working as a software developer in an it company,and I am having 2 years of experience in IT field.I have B.E. computer Degree and I can teach C,C++,Java,Asp.net MVC or any computer subject in English,Hindi or Gujarati very conveniently.",[],"['C++ Language\n                           \n                               classes', 'C Language\n                           \n                               Classes', '.Net MVC\n                           \n                               Training', 'ASP.NET\n                           \n                               Training', 'ASP.NET AJAX\n                           \n                               Training', 'C# .NET\n                           \n                               Training']",https://s3-ap-southeast-1.amazonaws.com/tv-prod/member/photo/1705000-medium190.jpg,[]
Amit Meena,"English,
				
				Hindi",Gujarat University,Ahmedabad,India,380009,"hello everybody, myself amit meena currently i'm persuing engineering in computer science from jaipur, i have very good command over software technologies like software and web development , and i also like to play with mathematics and science , if u want to learn something new and amazing then definitely u r looking for right person and i'm sure that i will try to give my best as possible.",[],"['Class IX-X Tuition', 'Class I-V Tuition', 'Class VI-VIII Tuition', 'Computer Software\n                           \n                               Classes', 'Web Designing\n                           \n                               Classes', 'BCA Tuition', 'Engineering Diploma Tuition', 'Web Development\n                           \n                               Classes', '.Net MVC\n                           \n                               Training', '.Net Web Services\n                           \n                               Training']",https://s3-ap-southeast-1.amazonaws.com/tv-prod/member/photo/2575337-medium190.jpg,[]
Ayushi Shukla,English,Sarkhej Road,Ahmedabad,India,380007,"Presently pursuing M. Phil in accountancy area from S. D school of Commerce, Having good knowledge about the subjects which I have learnt at my school or college level, hard worker, I am a visiting lecturer in a clg and I teach international business environment subject.",[],"['BCom Tuition', 'Class XI-XII Tuition (PUC)', 'BBA Tuition', '.Net Advanced\n                           \n                               Training']",https://s3-ap-southeast-1.amazonaws.com/tv-prod/member/photo/2247061-medium190.jpg,[]
Neeraj Kataria,"English,
				
				Gujarati,
				
				Hindi",Satellite,Ahmedabad,India,380015,"I have 5 plus years of experience in computer programming.  I have worked on different technologies. Mathematics,English and computer are my favorite subjects and i love to teach computer,English and mathematics in personalized way by delivering quality education.",[],"['Spoken English\n                           \n                               classes', 'Class IX-X Tuition', 'Class XI-XII Tuition (PUC)', 'Class VI-VIII Tuition', 'Vedic Maths Training\n                           \n                               classes', 'Computer Course\n                           \n                               classes', '.Net Training', 'C Sharp\n                           \n                               Classes', '.Net MVC\n                           \n                               Training', 'ASP.NET\n                           \n                               Training', 'C# .NET\n                           \n                               Training']",https://s3-ap-southeast-1.amazonaws.com/tv-prod/member/photo/1605829-medium190.jpg,[]
TOPS Technologies,,C G Road,Ahmedabad,India,380009,"TOPS Technologies is one of the largest IT Training, Outsourcing and Placement company. We offer quality IT Project training in PHP, Android development, iPhone Development, Java, website design, software development, Testing in our multiple offices located in Ahmedabad, Baroda, Rajkot, Surat, Navsari, Udaipur, Mehsana in India and sales offices in Chicago, IL and Mountain View,CA in USA.","['https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/31459-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/31460-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/31461-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/31462-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/31463-large.jpg']","['ASP.NET\n                           \n                               Training', 'ASP.NET AJAX\n                           \n                               Training', 'Java Training\n                           \n                               Classes', 'PHP \n                           \n                               Classes', 'Search Engine Optimization (SEO) Training\n                           \n                               classes', 'iPhone Programming\n                           \n                               classes', 'Software Testing\n                           \n                               classes', 'Web Designing\n                           \n                               Classes', 'Mobile Application Development\n                           \n                               Training']",https://s3-ap-southeast-1.amazonaws.com/tv-prod/member/photo/317682-medium190ap.jpg,[]
