name,profileContent,locality,region,country,postalCode,aboutUs,galleryImage,classesConducted,image,reviews
Figmaax Animation Studio Training India Pvt. Ltd,,Sidhapudur,Coimbatore,India,641044,"We are dealing in this business for several years. We deal with .Net, 2D Animation, 3D Animation, Academic Projects, Adobe Flex, Adobe Illustrator, Adobe Photoshop, C Sharp (C#), Flash Action Effects, Graphic Designing Course, IEEE Projects,  Java Script, Java/J2EE, Live Projects, MATLAB, MS Office, MS Project, Multimedia/Animation, Networking, , PHP & MySQL, Real Time Projects, Sound Forge, Spring, SQL Server 2005, VB Script, Visual Effects (VFX) Diploma and Web Designing.The animation industry in India is large & growing. Animation, gaming & web design professionals work on full-length animation movies, create TV commercials, education CDs, games for Internet, mobile, PC or consoles (like PlayStation or Xbox), work in the advertising industry or as web designers in various companies.",[],"['.Net Training', 'Animation & Multimedia\n                           \n                               Classes', '.Net Certification Training', '3D Studio Max\n                           \n                               Training', 'AC3D 3D Modeling\n                           \n                               Training']",https://c.urbanpro.com/assets/new-ui/institute-200X200-1cadc0a5074600eb6978b2bd141bd303.png,[]
Stalin Manian,,Avinashi Road,Coimbatore,India,641018,I'm a tutor having experience in animation and visual effects. I work as an academic head and tech.head  at ZICA Coimbatore.,[],"['Clay Modeling\n                           \n                               Classes', 'Film Making\n                           \n                               classes', 'Film Editing\n                           \n                               classes', 'Script Writing\n                           \n                               classes', 'Animation & Multimedia\n                           \n                               Classes', '3D Studio Max\n                           \n                               Training', 'Adobe Flash\n                           \n                               Training', 'Adobe Illustrator\n                           \n                               Training', 'Adobe Indesign\n                           \n                               Training', 'Adobe Premiere\n                           \n                               Training', 'Adobe Soundbooth\n                           \n                               Training', 'ZBrush 3D Modeling\n                           \n                               Training']",https://c.urbanpro.com/assets/new-ui/provider-male-200X200-3c338370173be7fb2ec739d05b5fe4cd.png,[]
Indian Institute of Software Testing,,Avinashi Road,Coimbatore,India,641018,The Institute boasts of strong technical industrial interaction and a high quality of research. The Institute has the team of competent and qualified faculty and visionary management to enhance the quality of education at all levels and maintain its position in emerging globalization,[],"['.Net Training', 'Animation & Multimedia\n                           \n                               Classes', '.Net Certification Training', '3D Studio Max\n                           \n                               Training', 'AC3D 3D Modeling\n                           \n                               Training']",https://s3-ap-southeast-1.amazonaws.com/tv-prod/member/photo/322132-medium190ap.jpg,[]
Campus I.,,R S Puram,Coimbatore,India,641002,I will be able to train students,[],"['Interior Designing\n                           \n                               classes', 'Web Designing\n                           \n                               Classes', 'Fashion Designing\n                           \n                               classes', 'Graphic Designing\n                           \n                               Classes', 'Film Editing\n                           \n                               classes', 'Film Direction\n                           \n                               classes', 'Animation & Multimedia\n                           \n                               Classes', '3D Studio Max\n                           \n                               Training', 'Adobe Director\n                           \n                               Training', 'Adobe Dreamweaver\n                           \n                               Training', 'Adobe Flash\n                           \n                               Training', 'Adobe Illustrator\n                           \n                               Training', 'Adobe Indesign\n                           \n                               Training', 'Adobe PageMaker\n                           \n                               Training', 'Adobe Premiere\n                           \n                               Training', 'Autodesk Softimage\n                           \n                               Training']",https://c.urbanpro.com/assets/new-ui/provider-female-200X200-4f01def0197ff3f4437cabdafea04864.png,[]
Atom Training Labs,,Gandhipuram,Coimbatore,India,641012,"ATOM Training Labs is a division of ATOM Systems Pvt Ltd, a thriving global IT outsourcing company providing services to clients in the international markets. The company is based in India with its overseas office in the UK. The highly skilled and enthusiastic team at ATOM Training Lab has been consistently providing customized IT and Multimedia Solutions by utilizing the best in class tools and techniques. We offer a range of expertise which delivers technology - driven business solutions that meet the strategic objectives of our customers.",[],"['Adobe Photoshop Training\n                           \n                               classes', 'Animation & Multimedia\n                           \n                               Classes', '3D Studio Max\n                           \n                               Training', 'AC3D 3D Modeling\n                           \n                               Training']",https://c.urbanpro.com/assets/new-ui/institute-200X200-1cadc0a5074600eb6978b2bd141bd303.png,[]
N2K Computer Education,,Gandhipuram,Coimbatore,India,641012,"N2K is dealing in this business for past several years. We deal with .Net, 2D Animation, 3D Animation, Academic Projects, Autodesk MAYA, C Sharp (C#), CCNA, Cloud Computing Training, Data Warehousing, MS Office, Tally, Photoshop, Dream Weaver, 3D Studio Max, Maya Combustion and Audio & Video Editing in Coimbatore",[],"['.Net Training', 'Animation & Multimedia\n                           \n                               Classes', '3D Studio Max\n                           \n                               Training', 'AC3D 3D Modeling\n                           \n                               Training']",https://s3-ap-southeast-1.amazonaws.com/tv-prod/member/photo/322126-medium190ap.jpg,[]
Adoro Animation Institute,,Gandhipuram,Coimbatore,India,641012,"Adoro is a unit of World Multimedia Association provides courses on animation field such as 2D ,3D, web design, Graphic Design along with the degree and diploma certifications from a recognized University called Karnataka Open State University for specific courses. Also registered under Indian Multimedia Association.","['https://s3-ap-southeast-1.amazonaws.com/tv-prod/provider/photo/18377-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/provider/photo/18378-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/provider/photo/18379-large.png', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/provider/photo/18380-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/provider/photo/18381-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/provider/photo/19182-large.jpg']","['Vocational Training\n                           \n                               classes', 'Computer Course\n                           \n                               classes', 'Film Making\n                           \n                               classes', 'Adobe Photoshop Training\n                           \n                               classes', 'Animation & Multimedia\n                           \n                               Classes', '3D Studio Max\n                           \n                               Training', 'Adobe RoboHelp\n                           \n                               Training', 'Adobe Shockwave\n                           \n                               Training', 'Corel DRAW\n                           \n                               Training', 'Flash\n                           \n                               Training', 'LightWave 3D\n                           \n                               Training', 'Logo Design\n                           \n                               Training', 'Sound Forge\n                           \n                               Training', 'Template Designing\n                           \n                               Training', 'Visual effects VFX\n                           \n                               Training']",https://s3-ap-southeast-1.amazonaws.com/tv-prod/member/photo/414494-medium190ap.jpg,"[u'K\n\n\n\n\n\n\n\n\n\n\n\n\nKarthiga\n\n attended \n\n in Oct,2013\r\n\t\t\t\t\t\n posted on 30 Dec, 2013\n\r\n\t\t\t\t\t""Good infrastructure and technology facilities. Good understanding about the courses by the experienced faculties.\r\n\t\t\t\t\t\t\t\t\t""']"
ADORO INSTITUTE OF MULTIMEDIA,,Gandhipuram,Coimbatore,India,641012,"ADORO emerges as a production company in 2006. Starting with this as a first step, entered into the college of multimedia by providing various courses to the students on animation, design, and also special courses. Deliverable is on from the basic to the advanced currently in use. Also provide students with the LIVE PROJECTS on their selected courses to deal with. We encourage them by providing job opportunities for their future career. Motto of us is to create a Quality Multimedia Professionals and we are working to provide the best results each time.","['https://s3-ap-southeast-1.amazonaws.com/tv-prod/provider/photo/18274-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/provider/photo/18276-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/provider/photo/18277-large.jpg']","['Interior Designing\n                           \n                               classes', 'Web Designing\n                           \n                               Classes', 'Adobe Photoshop Training\n                           \n                               classes', 'Graphic Designing\n                           \n                               Classes', 'Sound Engineering\n                           \n                               classes', 'Animation & Multimedia\n                           \n                               Classes', '3D Studio Max\n                           \n                               Training', 'Adobe Dreamweaver\n                           \n                               Training', 'Adobe Flash\n                           \n                               Training', 'Adobe Illustrator\n                           \n                               Training', 'Adobe Indesign\n                           \n                               Training', 'Adobe Premiere\n                           \n                               Training', 'Adobe Shockwave\n                           \n                               Training', 'Autodesk Softimage\n                           \n                               Training', 'Avid\n                           \n                               Training', 'Corel DRAW\n                           \n                               Training', 'Maya 3D Animation\n                           \n                               Training', 'Sound Forge\n                           \n                               Training']",https://s3-ap-southeast-1.amazonaws.com/tv-prod/member/photo/412049-medium190ap.jpg,"[u'P\n\n\n\n\n\n\n\n\n\n\n\n\nPriya\n\n attended \n\n in Mar,2014\r\n\t\t\t\t\t\n posted on 22 Jul, 2014\n\r\n\t\t\t\t\t""Best training institute for Multimedia and Animation.They provide better education to the students.\r\n\t\t\t\t\t\t\t\t\t""']"
Balaji Bala,English,Selvapuram,Coimbatore,India,641026,Multimedia trainer in 6 years,[],"['Video Editing\n                           \n                               classes', 'Adobe Photoshop Training\n                           \n                               classes', 'Animation & Multimedia\n                           \n                               Classes', '3D Studio Max\n                           \n                               Training', 'Adobe Flex\n                           \n                               Training', 'Adobe Premiere\n                           \n                               Training', 'Maya 3D Animation\n                           \n                               Training', 'Wedding Photographers']",https://c.urbanpro.com/assets/new-ui/provider-male-200X200-3c338370173be7fb2ec739d05b5fe4cd.png,[]
ADORO MULTIMEDIA INDIA PVT LIMITED,,Gandhipuram,Coimbatore,India,641012,"ADORO an institute of Multimedia providing its excellence in various groups that includes, Adoro Multimedia India Private Limited, Adoro College of Multimedia, Adoro Hosting, AIM Institute of University Studies, Brahma College of Fine Arts. With variety of courses and good job opportunities Adoro in the path of creating Quality Professionals which led career to many individuals.","['https://s3-ap-southeast-1.amazonaws.com/tv-prod/provider/photo/18514-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/provider/photo/18661-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/provider/photo/19179-large.jpg']","['Interior Designing\n                           \n                               classes', 'Web Designing\n                           \n                               Classes', 'Adobe Photoshop Training\n                           \n                               classes', 'Animation & Multimedia\n                           \n                               Classes', '3d Movie Maker\n                           \n                               Training', '3D Studio Max\n                           \n                               Training', '2D Studio\n                           \n                               Training', 'Adobe Dreamweaver\n                           \n                               Training', 'Adobe Flash\n                           \n                               Training', 'Adobe Illustrator\n                           \n                               Training', 'Adobe Indesign\n                           \n                               Training', 'Avid\n                           \n                               Training', 'Corel DRAW\n                           \n                               Training', 'Logo Design\n                           \n                               Training', 'Maya 3D Animation\n                           \n                               Training', 'Sound Forge\n                           \n                               Training', 'Fine Arts\n                           \n                               Classes']",https://s3-ap-southeast-1.amazonaws.com/tv-prod/member/photo/416607-medium190ap.jpg,[]
