name,profileContent,locality,region,country,postalCode,aboutUs,galleryImage,classesConducted,image,reviews
Ashu Jaria,"English,
				
				Hindi",Sumel,Jaipur,India,302031,"1. Worked with VVCS Computers (UPDESCO), Alambagh, as an Instructor of CAD, Office, Programming Languages from 1998-2001.",[],"['Autocad\n                           \n                               classes', '3D Studio Max\n                           \n                               Training', 'Autodesk REVIT\n                           \n                               Training']",https://c.urbanpro.com/assets/new-ui/provider-male-200X200-3c338370173be7fb2ec739d05b5fe4cd.png,[]
Dharm Pal  Bairwa,,Airport Sanganer,Jaipur,India,302011,"Dharm Pal  Bairwa conducts classes in  3D Studio Max and Animation & Multimedia. Dharm Pal  is located in Airport Sanganer, Jaipur. Dharm Pal  takes classes at students Home, Regular Classes- at his Home and Online Classes- Via online medium.",[],"['Animation & Multimedia\n                           \n                               Classes', '3D Studio Max\n                           \n                               Training']",https://c.urbanpro.com/assets/new-ui/provider-male-200X200-3c338370173be7fb2ec739d05b5fe4cd.png,[]
Samyak Computer Classes - HP & ISO Authorized,,Ajmer Road,Jaipur,India,302001,"Welcome to an institution that provides knowledge beyond books, knowledge beyond boundaries. An institution that believes information can help k Computer Classes - HP & ISO Authorizedyou see things from several perspectives. And insights can help you see beyond the obvious.","['https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/20478-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/20608-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/20609-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/20610-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/20611-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/20612-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/20620-large.png', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/20621-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/59419-large.jpg', '/jaipur/samyak-computer-classes-hp-iso-authorized-vaishali-nagar-jaipur/gallery/5012818']","['Interior Designing\n                           \n                               classes', 'Spoken English\n                           \n                               classes', 'Hindi Language\n                           \n                               Classes', 'Web Designing\n                           \n                               Classes', 'Java Training\n                           \n                               Classes', 'Microsoft Excel Training\n                           \n                               classes', 'PHP \n                           \n                               Classes', '.Net Training', 'Jewellery Design\n                           \n                               Classes', 'Software Testing\n                           \n                               classes', 'Autocad\n                           \n                               classes', 'Tally Software\n                           \n                               classes', '3D Studio Max\n                           \n                               Training', 'CATIA\n                           \n                               Training', 'SolidWorks\n                           \n                               Training', 'Mobile Application Development\n                           \n                               Training']",https://s3-ap-southeast-1.amazonaws.com/tv-prod/member/photo/749843-medium190ap.jpg,[]
Samyak Computer Classes - HP & ISO Authorized,,LAL Kothi,Jaipur,India,302015,"Welcome to an institution that provides knowledge beyond books, knowledge beyond boundaries. An institution that believes information can help k Computer Classes - HP & ISO Authorizedyou see things from several perspectives. And insights can help you see beyond the obvious.","['https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/20478-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/20608-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/20609-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/20610-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/20611-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/20612-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/20620-large.png', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/20621-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/59419-large.jpg', '/jaipur/samyak-computer-classes-hp-iso-authorized-vaishali-nagar-jaipur/gallery/5012818']","['Spoken English\n                           \n                               classes', 'C++ Language\n                           \n                               classes', 'C Language\n                           \n                               Classes', 'Web Designing\n                           \n                               Classes', 'Java Training\n                           \n                               Classes', 'Microsoft Excel Training\n                           \n                               classes', 'PHP \n                           \n                               Classes', '.Net Training', 'Search Engine Optimization (SEO) Training\n                           \n                               classes', 'Jewellery Design\n                           \n                               Classes', 'DTP (Desktop Publishing)\n                           \n                               classes', 'Software Testing\n                           \n                               classes', 'Autocad\n                           \n                               classes', 'Tally Software\n                           \n                               classes', '3D Studio Max\n                           \n                               Training', 'Networking General\n                           \n                               Training', 'PLC SCADA\n                           \n                               Training', 'Mobile Application Development\n                           \n                               Training', 'CAD\n                           \n                               Training']",https://s3-ap-southeast-1.amazonaws.com/tv-prod/member/photo/749843-medium190ap.jpg,[]
Sanket Satpati,"Hindi,
				
				Bengali,
				
				English",Malviya Nagar,Jaipur,India,302017,"I am good in teaching  3d Max, Maya Modeling and Web Design (HTML, Dreamweaver and Flash) too,currently working as academic head in Arena Animation centre.having experience over 10 years of teaching.",['https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/16607-large.jpg'],"['C++ Language\n                           \n                               classes', 'Adobe Photoshop Training\n                           \n                               classes', '3D Studio Max\n                           \n                               Training', 'Adobe Dreamweaver\n                           \n                               Training', 'Adobe Flash\n                           \n                               Training', 'Adobe Illustrator\n                           \n                               Training', 'Adobe PageMaker\n                           \n                               Training', 'Adobe Premiere\n                           \n                               Training', 'Corel DRAW\n                           \n                               Training', 'HTML\n                           \n                               Training', 'Maya 3D Animation\n                           \n                               Training', 'Sound Forge\n                           \n                               Training', 'Visual effects VFX\n                           \n                               Training']",https://s3-ap-southeast-1.amazonaws.com/tv-prod/member/photo/862274-medium190.jpg,[]
Akshay Gupta,"Marwari,
				
				English,
				
				Hindi",Barkat Nagar,Jaipur,India,302015,I had been taking my junior class in my school time and in my college time too... so in all I've gained a 5 year of experience...,[],"['Vocal Music\n                           \n                               classes', 'Engineering Entrance Coaching\n                           \n                               classes', 'Class IX-X Tuition', 'Class XI-XII Tuition (PUC)', 'Class I-V Tuition', 'Class VI-VIII Tuition', 'Autocad\n                           \n                               classes', 'BTech Tuition', 'Engineering Diploma Tuition', '3D Studio Max\n                           \n                               Training', 'Autodesk REVIT\n                           \n                               Training', 'Revit Architecture\n                           \n                               Training', 'CAD\n                           \n                               Training']",https://s3-ap-southeast-1.amazonaws.com/tv-prod/member/photo/532620-medium190.jpg,[]
Sumit Sardar,"Bengali,
				
				Hindi,
				
				English",Durgapura Jaipur,Jaipur,India,302018,"I have started my Institute named Shikhar Institute located at Durgapura Jaipur since 2012. I have also 9 year experience as Design Engineer. I have worked for Many MNCs as well as Reliance, NBC, Elektrolites, Star Rising etc.",[],"['Computer Course\n                           \n                               classes', 'Autocad\n                           \n                               classes', 'Tally Software\n                           \n                               classes', '3D Studio Max\n                           \n                               Training', 'SolidWorks\n                           \n                               Training']",https://s3-ap-southeast-1.amazonaws.com/tv-prod/member/photo/2360835-medium190.jpg,[]
Samyak Computer Classes - HP & ISO Authorized,,Raja Park,Jaipur,India,302004,"Welcome to an institution that provides knowledge beyond books, knowledge beyond boundaries. An institution that believes information can help k Computer Classes - HP & ISO Authorizedyou see things from several perspectives. And insights can help you see beyond the obvious.","['https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/20478-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/20608-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/20609-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/20610-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/20611-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/20612-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/20620-large.png', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/20621-large.jpg', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/59419-large.jpg', '/jaipur/samyak-computer-classes-hp-iso-authorized-vaishali-nagar-jaipur/gallery/5012818']","['.Net Training', 'Ethical Hacking & Cyber Security\n                           \n                               Training', 'Java Training\n                           \n                               Classes', 'Jewellery Design\n                           \n                               Classes', 'PHP \n                           \n                               Classes', 'Search Engine Optimization (SEO) Training\n                           \n                               classes', 'Software Testing\n                           \n                               classes', 'Web Designing\n                           \n                               Classes', 'C++ Language\n                           \n                               classes', 'Mobile Application Development\n                           \n                               Training', 'C Language\n                           \n                               Classes', '3D Studio Max\n                           \n                               Training', 'Spoken English\n                           \n                               classes', 'Microsoft Excel Training\n                           \n                               classes', 'PLC SCADA\n                           \n                               Training', 'Tally Software\n                           \n                               classes', 'CCNA Certification\n                           \n                               classes', 'DTP (Desktop Publishing)\n                           \n                               classes', 'Autocad\n                           \n                               classes']",https://s3-ap-southeast-1.amazonaws.com/tv-prod/member/photo/749843-medium190ap.jpg,[]
Tgc Animation,,Malviya Nagar,Jaipur,India,302017,"TGC, an ISO 9001:2008 company, incorporated as digital design institute since 2000. For the last 16 years we have produced more than 15,000 hardcore skilled designers most of them are working with some of the most renowned animation studios, multimedia houses, e-learning companies, national dailies, & web design firms etc. TGC is a mainstream partner institute for MESC (Media and Entertainment Skill Council) NSDC, Govt of India. TGC also is an ATC for Adobe and Autodesk. TGC awarded as ""Student Choice Award"" for 2014-15 by UrbanPro.","['https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/79562-large.bmp', 'https://s3-ap-southeast-1.amazonaws.com/tv-prod/photo/6446-large.jpg']","['Photography\n                           \n                               Classes', 'Web Designing\n                           \n                               Classes', 'Graphic Designing\n                           \n                               Classes', 'Autocad\n                           \n                               classes', 'Animation & Multimedia\n                           \n                               Classes', '3D Studio Max\n                           \n                               Training', 'Maya 3D Animation\n                           \n                               Training', 'CAD\n                           \n                               Training']",https://s3-ap-southeast-1.amazonaws.com/tv-prod/member/photo/417887-medium190ap.jpg,"[u'A\n\n\n\n\n\n\n\n\n\n\n\n\nAnuradha Negi\n\n attended \n\n in Sep,2013\r\n\t\t\t\t\t\n posted on 07 Mar, 2016\n\r\n\t\t\t\t\t""Web design training I received at TGC was not just a training but was a sharing of experience by the instructors with years of experience. That`s the reason I got the job just within the training duration. Thanks to Mr.Ravi, Ms.Muskan, Ms.Divya, Mr.Ashwani & all the staff member.""', u'O\n\n\n\n\n\n\n\n\n\n\n\n\nOluwafemi Agbelua\n\n attended \n\n in Sep,2011\r\n\t\t\t\t\t\n posted on 07 Mar, 2016\n\r\n\t\t\t\t\t""After coming from Lagos, I did my specialisation in Web Design from TGC, and im glad I could find friends TGC is the best institute for all type of computer courses. Faculty very co-operative who helped me a lot to understand things in a better way.in teachers, possesing vast amount of knowledge, and the best thing, after so many days I finished up my training, I still take their guidance whenever I am in doubt.-TGC training school. Student (Web Pro ) from Lagos""', u'R\n\n\n\n\n\n\n\n\n\n\n\n\nRitesh Jairaj\n\n attended \n\n in Sep,2012\r\n\t\t\t\t\t\n posted on 07 Mar, 2016\n\r\n\t\t\t\t\t""I did my degree in Multimedia and Animation. I am working at the Film Making company which is called UK07 Films. and yes i like TGC because it has changed my life now and i would like to thanks all my dear & respected teachers because they are really good,experienced and talented.""', u'P\n\n\n\n\n\n\n\n\n\n\n\n\nPallabi De\n\n attended \nAnimation Institute in Delhi\n in Aug,2010\r\n\t\t\t\t\t\n posted on 07 Mar, 2016\n\r\n\t\t\t\t\t""I did my M.sc Multimedia and Animation course at TGC and was offered a job by the placement cell of TGC much before the completion of my training period. I consider TGC as the perfect place for learning and a conglomeration of knowledgeable minds.I want to Thank Ravi Sir & TGC Members.""']"
Ravi Hathiwal,"English,
				
				Hindi",Malviya Nagar,Jaipur,India,302017,"I have 3d animation production experience of  6 years  and i have  done international projects for Disney Toon studios  , Dream works Studios and american greetings etc.",[],"['Adobe Photoshop Training\n                           \n                               classes', 'Animation & Multimedia\n                           \n                               Classes', '3D Studio Max\n                           \n                               Training', 'Adobe Illustrator\n                           \n                               Training', 'Adobe Premiere\n                           \n                               Training', 'Maya 3D Animation\n                           \n                               Training', 'Sound Forge\n                           \n                               Training']",https://s3-ap-southeast-1.amazonaws.com/tv-prod/member/photo/875921-medium190.jpg,[]
